0	28.63	4.09	483.14
0	25.2	3.46	480
0	24.22	3.11	454.9
0	27.45	4.05	470.59
0	26.57	3.79	432.94
0.39	26.57	3.67	392.16
0	23.24	3.11	348.24
0.78	20.98	2.66	298.04
3.92	16.67	1.41	210.2
0	11.76	0.75	207.06
0	11.57	0.8	216.47
0	11.76	0.92	235.29
8.24	12.65	0.61	188.24
11.76	12.65	0.68	238.43
18.43	11.18	0.56	235.29
9.8	10.49	0.59	288.63
0	15.98	1.22	442.35
0	19.02	1.67	445.49
3.53	16.08	1.08	379.61
1.57	17.84	1.44	461.18
0.78	23.04	2.09	436.08
0	23.63	2.49	470.59
0	28.92	3.39	461.18
0	24.9	2.61	454.9
0	29.51	4.33	483.14
0	29.02	4.33	473.73
0.39	25.39	3.27	385.88
0.39	25.59	3.6	439.22
0	24.31	3.2	389.02
1.18	19.51	2	294.9
4.31	14.61	1.04	244.71
0	10.29	0.78	247.84
0.39	13.92	0.85	210.2
1.18	12.25	0.71	197.65
0	13.73	1.06	232.16
7.06	9.22	0.61	213.33
2.75	9.9	0.75	260.39
7.45	9.31	0.47	225.88
4.31	12.06	0.78	341.96
0	17.65	1.36	426.67
2.35	11.76	0.85	382.75
2.75	17.06	1.41	439.22
0	23.24	2.35	483.14
0	26.57	2.99	470.59
0	24.8	3.01	480
0	28.33	3.58	445.49
0.39	26.86	3.39	461.18
0	27.45	4	489.41
0	29.51	4.75	486.27
0	27.94	4.12	442.35
0	25.88	3.55	410.98
0	24.71	3.36	367.06
0	22.06	2.87	335.69
0.39	19.02	1.95	263.53
7.06	15.49	0.87	175.69
6.67	9.51	0.45	169.41
3.53	9.41	0.49	191.37
6.27	13.24	0.61	178.82
1.18	8.24	0.59	238.43
0.78	10.1	0.78	301.18
1.57	14.31	1.01	301.18
4.31	11.08	0.78	313.73
2.35	15.59	1.2	392.16
0	16.86	1.27	420.39
0.78	15.69	1.11	404.71
0.39	19.8	1.84	492.55
0	22.45	2.12	451.76
0	25.49	2.96	486.27
0	27.35	3.93	492.55
0	30.49	4.68	473.73
0	27.65	4.02	473.73
0	28.82	4.52	476.86
0.39	26.18	3.72	432.94
0.39	27.45	4.16	417.25
0	21.96	2.8	354.51
0	19.12	2.28	320
8.24	15.69	1.51	241.57
0	16.47	1.22	235.29
1.57	13.14	0.85	197.65
12.16	9.22	0.45	153.73
1.96	12.75	0.73	194.51
0	15.49	1.01	247.84
2.35	12.45	0.92	279.22
0.39	11.76	0.75	282.35
2.75	14.51	1.06	367.06
3.14	14.22	0.94	354.51
5.49	13.82	0.89	360.78
4.71	13.73	0.78	385.88
0	19.71	1.74	505.1
0.39	26.37	2.73	483.14
0	23.82	2.31	461.18
0	27.65	3.39	480
0	31.76	4.42	442.35
1.18	28.24	3.79	420.39
0	28.82	4.28	476.86
0	27.75	4.07	442.35
0.39	27.35	4.14	414.12
0	23.63	3.08	357.65
0	24.12	3.29	320
3.53	12.45	0.89	188.24
0	12.16	0.78	219.61
8.63	11.08	0.56	163.14
10.98	10.2	0.47	153.73
0	11.18	0.64	219.61
2.75	9.51	0.56	235.29
4.31	10.88	0.71	272.94
5.1	11.08	0.59	279.22
0	21.08	1.88	426.67
1.18	16.57	1.29	398.43
0	16.96	1.29	404.71
0	23.43	2.4	489.41
0	19.41	1.88	470.59
0	23.24	3.13	489.41
0.39	26.08	3.69	501.96
0	27.16	3.86	486.27
0	29.71	4.56	492.55
0	28.43	4.4	486.27
0	27.75	3.98	445.49
0	28.24	4.38	448.63
0	22.35	3.01	373.33
0	23.24	3.01	354.51
10.98	13.43	0.73	194.51
1.57	13.53	0.85	238.43
0.78	10.39	0.75	235.29
2.75	12.84	0.82	207.06
7.45	10.1	0.49	150.59
10.2	10.59	0.54	194.51
3.92	12.65	0.87	269.8
6.27	12.65	0.64	219.61
3.14	13.73	0.92	326.27
9.02	14.61	0.99	329.41
4.71	13.43	0.94	385.88
0	15.1	1.29	492.55
4.71	16.18	1.06	379.61
0.78	21.86	1.88	467.45
0	20.98	1.84	473.73
0	22.84	2.26	467.45
0	28.92	3.6	470.59
0	32.06	4.45	454.9
0	30	4.42	454.9
0	28.33	4.38	461.18
0	22.84	3.13	426.67
0.39	22.75	3.06	373.33
0	19.9	2.45	341.96
0	17.94	1.72	260.39
0	17.25	1.41	247.84
5.88	12.35	0.92	200.78
6.27	12.16	0.71	181.96
16.47	13.04	0.66	163.14
3.92	10.1	0.66	225.88
0.78	12.45	0.87	257.25
0	11.47	1.01	307.45
10.59	10.1	0.61	235.29
7.45	10.2	0.71	335.69
14.9	12.65	0.66	316.86
1.96	16.08	1.06	417.25
0	22.25	2.07	514.51
1.57	20.88	1.79	442.35
0	23.63	2.31	470.59
0	29.31	3.48	461.18
0	29.41	4.02	470.59
0	31.86	5.15	473.73
0	27.06	4.02	480
0	28.53	4.38	461.18
0.39	25	3.65	423.53
0.78	22.25	2.85	338.82
0	18.92	2.24	335.69
0	18.63	2.09	291.76
1.96	14.9	1.08	213.33
1.18	11.86	0.89	222.75
4.31	9.71	0.54	169.41
4.31	10.49	0.78	207.06
0	8.43	0.78	254.12
5.1	12.45	0.8	222.75
8.24	10.98	0.73	260.39
0.39	15	1.29	389.02
0.78	16.47	1.46	395.29
0	16.76	1.36	395.29
1.96	16.76	1.46	432.94
0.39	20.2	2.05	470.59
0	23.73	2.59	480
0	24.8	3.04	470.59
0	26.86	3.79	498.82
0	28.04	3.98	461.18
0	29.31	4.68	486.27
0	26.96	4.09	476.86
0	30.1	4.66	432.94
0	22.06	2.87	385.88
0	19.12	2.38	370.2
0	18.33	2.09	304.31
0	19.8	2.26	288.63
0.39	15.49	1.29	238.43
1.96	10.78	0.75	197.65
4.71	8.04	0.54	175.69
8.24	9.8	0.54	185.1
7.45	8.82	0.54	203.92
3.92	10	0.71	272.94
5.88	11.96	0.78	301.18
0	13.24	1.04	363.92
0	14.02	1.13	417.25
0	15.98	1.51	467.45
0	16.27	1.53	467.45
0	23.63	2.78	476.86
1.18	18.82	1.95	410.98
0	25.78	4.05	542.75
0.39	27.55	4.14	489.41
0	30.29	4.78	473.73
0	28.92	4.49	492.55
0	29.02	4.45	461.18
0	28.92	4.66	458.04
0	25.1	3.62	407.84
0.39	22.45	3.04	338.82
0	21.08	2.82	332.55
4.71	16.27	1.32	207.06
0	17.35	1.32	222.75
0	13.14	0.96	210.2
6.67	7.25	0.47	156.86
0	11.47	0.8	216.47
5.88	13.04	0.89	225.88
5.1	10.59	0.68	213.33
10.98	11.86	0.66	260.39
0	12.45	1.04	420.39
0.78	13.82	1.13	420.39
1.57	15.69	1.32	404.71
3.53	17.25	1.41	420.39
0	23.92	2.47	483.14
0	23.04	2.07	423.53
0	22.65	2.24	467.45
0	28.33	3.88	508.24
0	30.69	4.82	486.27
0	28.04	4.02	458.04
0	28.43	4.38	470.59
0	28.53	4.35	442.35
0	27.55	4.14	395.29
5.1	17.75	2.05	329.41
0	18.24	1.39	282.35
0	15.88	1.25	260.39
0.39	13.04	0.94	219.61
7.45	9.22	0.56	181.96
2.75	10.69	0.61	200.78
1.96	13.14	0.8	235.29
9.02	9.9	0.49	213.33
2.35	12.16	0.71	272.94
8.63	10.88	0.59	279.22
1.18	13.53	1.08	404.71
4.71	12.06	0.92	367.06
5.49	13.82	0.92	367.06
1.18	15.78	1.29	454.9
1.18	16.37	1.22	439.22
0	21.27	1.81	461.18
0	24.02	2.4	492.55
0	28.14	3.27	464.31
0	29.51	4.09	467.45
0	26.96	3.86	473.73
0	27.16	4.14	464.31
0	25.1	3.6	432.94
0	25.78	3.74	404.71
1.96	22.45	2.47	288.63
6.27	16.96	1.15	241.57
2.35	16.18	1.18	241.57
9.41	8.82	0.54	178.82
13.73	12.55	0.61	166.27
10.59	8.63	0.45	172.55
0	11.18	0.68	213.33
0	12.75	0.94	272.94
6.67	10.78	0.8	257.25
5.1	10.39	0.71	310.59
16.08	10.98	0.59	279.22
1.18	14.12	1.15	442.35
0	15.39	1.08	436.08
0	18.24	1.67	480
3.53	15.49	1.15	401.57
1.57	18.63	1.39	436.08
0.78	25.69	2.73	480
0	27.16	2.99	454.9
0	27.75	3.2	464.31
0	27.75	3.44	464.31
0	28.53	3.95	448.63
0	27.16	3.81	410.98
0	25.69	3.58	385.88
3.53	20.29	1.88	288.63
0	18.33	1.74	294.9
1.18	12.35	0.78	207.06
0	12.25	0.92	235.29
0	10	0.8	222.75
0	13.92	1.06	229.02
7.45	10.98	0.8	210.2
0	12.55	0.89	266.67
1.18	12.16	0.87	301.18
1.18	11.86	0.92	335.69
7.45	11.96	0.66	282.35
4.71	13.24	0.96	407.84
1.57	18.53	1.41	426.67
0	21.18	2	498.82
0	21.18	1.95	461.18
0	24.22	2.45	461.18
0	24.71	2.71	464.31
0	28.43	4	483.14
0	28.73	4.4	492.55
0	31.86	5.06	451.76
0.39	27.84	4.14	454.9
0	28.33	4.14	407.84
0	27.06	3.88	379.61
0	20.29	2.38	304.31
0	18.24	2.02	276.08
4.71	13.33	0.89	194.51
8.63	14.71	0.68	160
7.45	8.63	0.52	191.37
2.75	8.43	0.54	197.65
0.78	10.59	0.82	238.43
0	10.39	0.78	269.8
0.39	10.88	0.92	329.41
0	14.8	1.25	338.82
1.96	16.08	1.44	385.88
1.18	16.27	1.27	385.88
0	20.78	2.24	486.27
0	21.67	2.07	420.39
0	21.57	2.38	486.27
0	25.88	3.39	498.82
0	28.63	3.88	445.49
0	29.22	4.52	501.96
0	28.63	4.19	473.73
0.39	27.84	4.19	476.86
0	27.55	3.91	432.94
0	25.1	3.51	410.98
0	19.9	2.49	382.75
0	19.8	2.47	338.82
0	16.57	1.86	272.94
0.78	14.8	1.25	219.61
0	9.71	0.85	222.75
0	13.63	1.13	229.02
0	13.73	1.04	219.61
0	16.08	1.34	254.12
9.41	11.57	0.64	194.51
3.14	15.1	1.04	304.31
1.57	16.27	1.15	367.06
3.92	14.61	1.06	363.92
0	19.31	1.67	448.63
1.18	18.43	1.6	442.35
0	20.29	1.79	436.08
0	24.51	2.71	480
0	26.37	3.29	473.73
0	29.02	4.14	473.73
0	29.61	4.19	454.9
0	30.69	4.42	458.04
0	28.14	4	470.59
0.39	28.04	4.07	451.76
0	27.16	3.76	382.75
0	24.22	3.18	354.51
0	20	2.35	304.31
2.75	17.94	1.53	247.84
1.18	14.22	0.94	207.06
7.84	13.63	0.61	153.73
1.96	10.78	0.59	197.65
0	13.14	0.89	225.88
0	14.31	0.92	241.57
5.88	17.16	1.2	279.22
0	13.04	0.87	301.18
0	18.53	1.46	379.61
0	17.45	1.6	420.39
0.78	17.06	1.51	429.8
1.96	19.41	1.67	417.25
0	17.45	1.39	414.12
0	24.31	2.87	511.37
0	28.14	3.86	505.1
0	29.51	3.93	448.63
0	27.55	3.74	476.86
0	28.63	4.16	480
0	29.41	4.52	473.73
0	27.25	3.98	436.08
0.39	26.08	3.55	385.88
0	24.22	3.04	335.69
0.78	20.39	2.19	282.35
5.88	13.04	0.89	225.88
0	11.57	0.78	225.88
2.75	10.59	0.66	188.24
